name,address,lat,lon,timings
Thai Square,"The Oaks Shopping Center, 21267 Stevens Creek Boulevard, Suite 311, Cupertino 95014",37.3232694444,-122.0478222222,"11 AM to 3:30 PM, 4:30 PM to 10 PM (Mon-Fri),11 AM to 10 PM (Sat),12 Noon to 9 PM (Sun)"
Deedee's,"341 Lafayette Street, Suite 101, Santa Clara 95050",37.3437305556,-121.9407111111,"11:30 AM to 3 PM (Mon-Tue),11:30 AM to 3 PM, 5:30 PM to 9 PM (Wed-Sun)"
Krung Thai,"640 S Winchester Boulevard,  San Jose 95128",37.3155340000,-121.9499260000,"11 AM to 10 PM (Mon-Fri),12 Noon to 10 PM (Sat-Sun)"
Zeni Ethiopian Restaurant,"1320 Saratoga Avenue, San Jose 95129",37.3003840000,-121.9819500000,"Closed (Mon),11:30 AM to 9:30 PM (Tue-Thu),11:30 AM to 10:30 PM (Fri),12 Noon to 10:30 PM (Sat),12 Noon to 9:30 PM (Sun)"
Loving Hut,"516 Barber Lane, Milpitas 95035",37.4192960000,-121.9162840000,"11 AM to 2:30 PM, 5 PM to 9 PM (Mon-Thu),11 AM to 2:30 PM, 5 PM to 9:30 PM (Fri),11 AM to 9:30 PM (Sat),11 AM to 9 PM (Sun)"
Walia Ethiopian Cuisine,"2208 Business Circle, San Jose 95128",37.3226083333,-121.9323805556,"11:30 AM to 10 PM (Mon, Wed, Thu, Fri, Sat), Closed (Tue),12 Noon to 9:30 PM (Sun)"
Saravanaa Bhavan,"3720 Mowry Avenue, Fremont 94538",37.5503833333,-121.9863138889,"11:30 AM to 2:30 PM, 5:30 PM to 10 PM (Mon-Fri),10 AM to 10 PM (Sat-Sun)"
Veggie Grill,"Santana Row, 3055 Olin Avenue, Suite 1030, San Jose 95128",37.3207777778,-121.9490750000,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)"
Go Chaatzz,"39150 Paseo Padre Pkwy, Fremont 94538",37.5531987101,-121.9804005325,8 AM to 10 PM (Mon-Sun)
Candle 79,"154 E 79th Street, New York 10021",40.7747280000,-73.9586390000,"12 Noon to 3:30 PM, 5:30 PM to 10:30 PM (Mon-Sat), 12 Noon to 4 PM, 5:30 PM to 10:30 PM (Sun)"
Blossom,"187 9th Avenue, New York 10011",40.7455179000,-74.0023590000,"12 Noon to 2:45 PM, 5 PM to 9:30 PM (Mon-Thu),12 Noon to 2:45 PM, 5 PM to 10 PM (Fri-Sat),12 Noon to 2:45 PM, 5 PM to 9 PM (Sun)"
Red Bamboo,"140 W 4th Street, New York 10012",40.7312710000,-74.0004660000,"12:30 PM to 11 PM (Mon-Thu), 12:30 PM to 11:30 PM (Fri), 12 Noon to 11:30 PM (Sat), 12 Noon to 11 PM (Sun)"
Hangawi,"12 E 32nd Street, New York 10016",40.7468400000,-73.9847780000,"12 Noon to 10:15 PM (Mon-Thu), 12 Noon to 10:30 PM (Fri), 1 PM to 10:30 PM (Sat), 5 PM to 9:30 PM (Sun)"
Taim West Village,"222 Waverly Place W Village, New York 10014",40.7359730000,-74.0018260000,11 AM to 10 PM
Dirt Candy,"86 Allen Street, New York 10002",40.7179305556,-73.9910666667,"Closed (Mon, Sun), 5:30 PM to 10 PM (Tue-Wed),5:30 PM to 10:30 PM (Thu-Sat)"
Frank,"88 2nd Avenue, New York 10003",40.7269750000,-73.9888388889,"10:30 AM to 1 AM (Mon-Thu), 10:30 AM to 2 AM (Fri-Sat), 10:30 AM to 12 Midnight (Sun)"
Sweets by CHLOE.,185 Bleecker Street Suite B 10012,40.7292620000,-74.0009196000,"11 AM to 11 PM (Mon-Fri), 10 AM to 11 PM (Sat-Sun)"
Zen Palate,"663 9th Avenue, Theater District, Hell'South Kitchen, Midtown West 10036",40.7610200000,-73.9911000000,"9:50 AM a 10:10 AM (Seg),10 AM a 8 PM (Ter-Dom)"
Caravan of Dreams,"405 East 6th Street, New York 10009",40.7262416667,-73.9860527778,11 AM to 11 PM (Mon-Sun)
Quantum Leap Natural Food,"226 Thompson Street, New York 10012",40.7291944444,-73.9989861111,"11:30 AM to 10 PM (Mon-Sat), 11:30 AM to 9:30 PM (Sun)"
Buddha Bodai One Vegetarian Restaurant,"5 Mott Street, New York 10013",40.7139027778,-73.9986888889,10 AM to 10 PM (Mon-Sun)
The Cinnamon Snail,"Location Varies, New York 10017",40.7143528000,-74.0059731000,"9 AM to 3 PM (Mon, Tue, Wed, Fri, Sat, Sun), 11 AM to 8 PM (Thu)"
Franchia,"12 Park Avenue, New York 10016",40.7475040000,-73.9813660000,"12 Noon to 10 PM (Mon-Thu),12 Noon to 10:30 PM (Fri),1 PM to 10:30 PM (Sat),1 PM to 10 PM (Sun)"
Sacred Chow,"227 Sullivan Street, New York 10012",40.7297638889,-73.9997472222,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)"
Saravanaa Bhavan,81 Lexington Avenue 10016,40.7414600000,-73.9830300000,"8:30 AM to 10 PM (Mon-Thu, Sun), 8:30 AM to 10:30 PM (Fri-Sat)"
Kajitsu,"125 E 39th Street, New York 10016",40.7498614000,-73.9777215000,"Closed (Mon),5:30 PM to 9 PM (Tue-Sun)"
Beyond Sushi,"229 E 14th Street, New York 10003",40.7327333333,-73.9859472222,"11:30 AM to 9:30 PM (Mon, Tue, Wed, Sun), 11:30 AM to 10:30 PM (Thu-Sat)"
Vegetarian Paradise 2,"144 W 4th Street, New York 10012",40.7313500000,-74.0005670000,"12 Noon to 11 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 12 Midnight (Fri-Sat)"
Ganesh Temple Canteen,"143-09 Holly Avenue, Queens 11355",40.7525140000,-73.8165270000,8:30 AM to 9:30 PM
Candle 79,"154 E 79th Street, New York 10021",40.7747280000,-73.9586390000,"12 Noon to 3:30 PM, 5:30 PM to 10:30 PM (Mon-Sat), 12 Noon to 4 PM, 5:30 PM to 10:30 PM (Sun)"
Blossom,"187 9th Avenue, New York 10011",40.7455179000,-74.0023590000,"12 Noon to 2:45 PM, 5 PM to 9:30 PM (Mon-Thu),12 Noon to 2:45 PM, 5 PM to 10 PM (Fri-Sat),12 Noon to 2:45 PM, 5 PM to 9 PM (Sun)"
Red Bamboo,"140 W 4th Street, New York 10012",40.7312710000,-74.0004660000,"12:30 PM to 11 PM (Mon-Thu), 12:30 PM to 11:30 PM (Fri), 12 Noon to 11:30 PM (Sat), 12 Noon to 11 PM (Sun)"
Hangawi,"12 E 32nd Street, New York 10016",40.7468400000,-73.9847780000,"12 Noon to 10:15 PM (Mon-Thu), 12 Noon to 10:30 PM (Fri), 1 PM to 10:30 PM (Sat), 5 PM to 9:30 PM (Sun)"
Taim West Village,"222 Waverly Place W Village, New York 10014",40.7359730000,-74.0018260000,11 AM to 10 PM
Dirt Candy,"86 Allen Street, New York 10002",40.7179305556,-73.9910666667,"Closed (Mon, Sun), 5:30 PM to 10 PM (Tue-Wed),5:30 PM to 10:30 PM (Thu-Sat)"
Frank,"88 2nd Avenue, New York 10003",40.7269750000,-73.9888388889,"10:30 AM to 1 AM (Mon-Thu), 10:30 AM to 2 AM (Fri-Sat), 10:30 AM to 12 Midnight (Sun)"
Sweets by CHLOE.,185 Bleecker Street Suite B 10012,40.7292620000,-74.0009196000,"11 AM to 11 PM (Mon-Fri), 10 AM to 11 PM (Sat-Sun)"
Zen Palate,"663 9th Avenue, Theater District, Hell'South Kitchen, Midtown West 10036",40.7610200000,-73.9911000000,"9:50 AM a 10:10 AM (Seg),10 AM a 8 PM (Ter-Dom)"
Caravan of Dreams,"405 East 6th Street, New York 10009",40.7262416667,-73.9860527778,11 AM to 11 PM (Mon-Sun)
Quantum Leap Natural Food,"226 Thompson Street, New York 10012",40.7291944444,-73.9989861111,"11:30 AM to 10 PM (Mon-Sat), 11:30 AM to 9:30 PM (Sun)"
Buddha Bodai One Vegetarian Restaurant,"5 Mott Street, New York 10013",40.7139027778,-73.9986888889,10 AM to 10 PM (Mon-Sun)
The Cinnamon Snail,"Location Varies, New York 10017",40.7143528000,-74.0059731000,"9 AM to 3 PM (Mon, Tue, Wed, Fri, Sat, Sun), 11 AM to 8 PM (Thu)"
Franchia,"12 Park Avenue, New York 10016",40.7475040000,-73.9813660000,"12 Noon to 10 PM (Mon-Thu),12 Noon to 10:30 PM (Fri),1 PM to 10:30 PM (Sat),1 PM to 10 PM (Sun)"
